iter	Logloss
0	0.6728709127
1	0.6540941147
2	0.6380891435
3	0.6247313961
4	0.6122496968
5	0.6007328931
6	0.589765702
7	0.579243494
8	0.5725888618
9	0.5644584889
10	0.5575568359
11	0.5514495015
12	0.5455692977
13	0.5402556235
14	0.5370284326
15	0.5329290608
16	0.5297745174
17	0.5258017383
18	0.521837981
19	0.5187342863
20	0.5155404002
21	0.5121624582
22	0.5097404784
23	0.5059394353
24	0.5039264249
25	0.5025112303
26	0.5005187708
27	0.498819299
28	0.4972768606
29	0.4958023707
30	0.4943484356
31	0.4926638644
32	0.4910961721
33	0.4902485232
34	0.4897391526
35	0.4883037912
36	0.4872454787
37	0.4859580306
38	0.4845152176
39	0.4830278808
40	0.481829902
41	0.4811048168
42	0.4802028694
43	0.4795193348
44	0.4789749868
45	0.4778435018
46	0.4774460795
47	0.476653534
48	0.4761983948
49	0.4757198675
50	0.4751195291
51	0.4743619652
52	0.4734826219
53	0.4730394332
54	0.4720666795
55	0.4713517587
56	0.4709469183
57	0.4705189576
58	0.4696640834
59	0.4689533585
60	0.4683571844
61	0.467882791
62	0.4677086644
63	0.4672849368
64	0.4666700326
65	0.466184174
66	0.4657516043
67	0.4651129046
68	0.4646647119
69	0.4644006051
70	0.4642289942
71	0.4639089982
72	0.463611548
73	0.4631172326
74	0.4630422013
75	0.4628984135
76	0.4626081345
77	0.4617501348
78	0.4612942061
79	0.4610552452
80	0.4605481714
81	0.4602073288
82	0.4599917866
83	0.4593857248
84	0.4590999115
85	0.4588221154
86	0.45821172
87	0.4575372759
88	0.4574547349
89	0.4574012323
90	0.4569830659
91	0.4569830596
92	0.4567768646
93	0.4563704799
94	0.4561187498
95	0.4556898843
96	0.4551372181
97	0.4548747768
98	0.4548747463
99	0.4548402651
100	0.4544783896
101	0.4536149358
102	0.4532561762
103	0.4531038822
104	0.4523094281
105	0.4521776965
106	0.4519460761
107	0.4516322119
108	0.4513905034
109	0.4507188764
110	0.4503469055
111	0.4499354882
112	0.4499152874
113	0.4498866551
114	0.4498749347
115	0.4496749416
116	0.4496727189
117	0.4495770023
118	0.4494554111
119	0.4489902975
120	0.4485715803
121	0.4484278109
122	0.4482069657
123	0.4480234903
124	0.4479015951
125	0.4475806664
126	0.447421085
127	0.4473759355
128	0.446725666
129	0.4466946901
130	0.446348374
131	0.4454877692
132	0.4454877677
133	0.4454527358
134	0.4449951052
135	0.4449951013
136	0.4448658229
137	0.4440304517
138	0.4437198028
139	0.443295585
140	0.4431016231
141	0.4429806383
142	0.4427754822
143	0.4425467702
144	0.4422201334
145	0.4419127076
146	0.4419127065
147	0.4415407214
148	0.4414272938
149	0.4411946868
150	0.4411877184
151	0.440784663
152	0.4406128933
153	0.4406128924
154	0.4406128889
155	0.4404939616
156	0.4403149156
157	0.4402281087
158	0.440221329
159	0.4401403642
160	0.4400302461
161	0.4395100948
162	0.4391078562
163	0.4386961598
164	0.4386232003
165	0.4385663958
166	0.4381648599
167	0.4379559138
168	0.437573771
169	0.4370680896
170	0.4370561486
171	0.4367857328
172	0.4365698712
173	0.4364841507
174	0.4364841403
175	0.4363749407
176	0.4355471676
177	0.4354214889
178	0.4349029028
179	0.434420244
180	0.43396496
181	0.433639816
182	0.4335969601
183	0.4333334243
184	0.4333191388
185	0.4330480721
186	0.4329304491
187	0.4327104268
188	0.4322218479
189	0.4317378545
190	0.4314145491
191	0.4311013875
192	0.4307058077
193	0.4304096058
194	0.4298038758
195	0.429648681
196	0.4293414637
197	0.4290824578
198	0.42895426
199	0.428814449
200	0.4285169201
201	0.4281423465
202	0.4279545619
203	0.4274685429
204	0.4273811322
205	0.4271571355
206	0.4267140801
207	0.4264792362
208	0.4261655947
209	0.4258611336
210	0.4257141245
211	0.4251456356
212	0.4249538563
213	0.4247405803
214	0.4245336221
215	0.4243385471
216	0.424019045
217	0.4236082436
218	0.4230683115
219	0.4227926499
220	0.4224371293
221	0.4221888672
222	0.4219964483
223	0.4216428532
224	0.4212478067
225	0.4211473484
226	0.4206479974
227	0.4204834927
228	0.4200199312
229	0.4197664518
230	0.4193956313
231	0.4187645866
232	0.4183782109
233	0.4181834003
234	0.4178901974
235	0.4175594579
236	0.417246149
237	0.4168990287
238	0.4165385581
239	0.4162844782
240	0.4160792264
241	0.4155803264
242	0.4152171945
243	0.4148431307
244	0.4146062609
245	0.4145275011
246	0.4143889255
247	0.4141161437
248	0.4139343661
249	0.413556507
250	0.4131637373
251	0.4129300583
252	0.4126003907
253	0.4120952848
254	0.4118192004
255	0.4115523556
256	0.4112520907
257	0.4107602417
258	0.4104159793
259	0.4101726811
260	0.4100592297
261	0.4098511947
262	0.4095995458
263	0.4092774107
264	0.4092077426
265	0.4085809466
266	0.4081767489
267	0.4080045572
268	0.4074676481
269	0.4069612586
270	0.406591601
271	0.4062979525
272	0.4061987817
273	0.405992855
274	0.4057763067
275	0.4054196664
276	0.4051144682
277	0.4049511083
278	0.4043268583
279	0.4041475622
280	0.4036471804
281	0.4035902426
282	0.4033878789
283	0.4031453609
284	0.4029875666
285	0.4027778084
286	0.4025622716
287	0.4024003852
288	0.4019258167
289	0.4014735202
290	0.4008937926
291	0.400720116
292	0.400524964
293	0.4002075787
294	0.3999880909
295	0.3997214293
296	0.3989746795
297	0.398536096
298	0.397907838
299	0.3977166894
300	0.3974600592
301	0.3971106936
302	0.3969863611
303	0.3969457068
304	0.3969010861
305	0.3968497113
306	0.3966409379
307	0.3965456001
308	0.3960573879
309	0.3956615603
310	0.3954838638
311	0.3952013977
312	0.3949964692
313	0.3949088433
314	0.3947279356
315	0.3943611584
316	0.3941161651
317	0.3939111148
318	0.3938375101
319	0.3935782776
320	0.3933561266
321	0.3929597982
322	0.3928826113
323	0.3925016272
324	0.3922386918
325	0.3917463901
326	0.3913118394
327	0.3912129264
328	0.3910769942
329	0.3908318267
330	0.3907311037
331	0.3904659149
332	0.3902504678
333	0.3901673103
334	0.389954537
335	0.3895349869
336	0.3893579268
337	0.3891745916
338	0.3888660322
339	0.3885135116
340	0.3881467728
341	0.3879953367
342	0.3878361429
343	0.3873407557
344	0.3870758812
345	0.3867374865
346	0.3863853145
347	0.386266997
348	0.3859008099
349	0.3858431737
350	0.3856721755
351	0.3854243913
352	0.3851690267
353	0.3851069236
354	0.3849017797
355	0.384811182
356	0.3845587859
357	0.3843004277
358	0.3840137612
359	0.3838039927
360	0.3834119663
361	0.3832617929
362	0.3830230672
363	0.3828334767
364	0.382655066
365	0.3824735218
366	0.3823122972
367	0.3822599097
368	0.3821434169
369	0.3820306642
370	0.3819242722
371	0.3818848127
372	0.3815242186
373	0.3812283662
374	0.3810392713
375	0.3805913805
376	0.3802499648
377	0.3799574222
378	0.3799283593
379	0.3796760116
380	0.3795871119
381	0.3789962839
382	0.3789077091
383	0.3784932299
384	0.3779544544
385	0.3777540522
386	0.3777065432
387	0.3775388936
388	0.377315915
389	0.3769247457
390	0.3766912756
391	0.3766234828
392	0.3764509475
393	0.3763180392
394	0.3762914595
395	0.3762710455
396	0.3758911326
397	0.3757681395
398	0.375455889
399	0.3753400772
400	0.3751800238
401	0.3749248208
402	0.3745845004
403	0.3743214004
404	0.3741867968
405	0.3741159427
406	0.3740051592
407	0.3736575639
408	0.3735898476
409	0.3733413343
410	0.3731239028
411	0.3730409561
412	0.37274382
413	0.3726283479
414	0.3724710523
415	0.3721522936
416	0.3717126325
417	0.3715879943
418	0.3712180681
419	0.3710354457
420	0.3709436263
421	0.3706265945
422	0.3705088023
423	0.370141335
424	0.3700503143
425	0.3698088729
426	0.369444074
427	0.3692638458
428	0.3688583716
429	0.3686795771
430	0.3685112797
431	0.3682790273
432	0.3680621593
433	0.3677091017
434	0.3674670097
435	0.3672836524
436	0.3671583376
437	0.3669768174
438	0.3668257079
439	0.3667310759
440	0.3666895267
441	0.3666818733
442	0.3665186957
443	0.3663171201
444	0.3660970551
445	0.365872198
446	0.3658077351
447	0.3657276145
448	0.3656727395
