iter	Passed	Remaining
0	214	214206
1	281	140320
2	341	113479
3	402	100280
4	465	92577
5	522	86546
6	579	82260
7	632	78370
8	667	73533
9	719	71191
10	780	70133
11	833	68625
12	889	67512
13	945	66574
14	1011	66409
15	1086	66823
16	1145	66226
17	1220	66580
18	1318	68063
19	1405	68875
20	1480	69013
21	1550	68940
22	1617	68720
23	1680	68343
24	1783	69569
25	1823	68298
26	1898	68403
27	1959	68007
28	2026	67851
29	2084	67397
30	2145	67071
31	2204	66700
32	2263	66339
33	2293	65169
34	2328	64200
35	2384	63860
36	2447	63710
37	2504	63415
38	2560	63096
39	2614	62738
40	2674	62552
41	2744	62602
42	2806	62453
43	2862	62199
44	2943	62464
45	3005	62339
46	3087	62614
47	3148	62447
48	3238	62856
49	3303	62775
50	3373	62773
51	3442	62753
52	3580	63973
53	3649	63933
54	3716	63858
55	3816	64341
56	3922	64892
57	3988	64782
58	4055	64686
59	4120	64560
60	4187	64452
61	4258	64434
62	4348	64678
63	4428	64762
64	4491	64608
65	4558	64515
66	4624	64401
67	4695	64360
68	4756	64174
69	4820	64044
70	4885	63923
71	4949	63795
72	5021	63771
73	5080	63571
74	5136	63346
75	5192	63128
76	5270	63182
77	5330	63007
78	5391	62854
79	5456	62754
80	5520	62635
81	5596	62654
82	5721	63213
83	5796	63212
84	5862	63102
85	5922	62947
86	5992	62883
87	6057	62775
88	6078	62214
89	6095	61630
90	6158	61514
91	6170	60899
92	6224	60706
93	6286	60591
94	6345	60448
95	6420	60457
96	6488	60400
97	6556	60350
98	6568	59781
99	6588	59297
100	6651	59201
101	6713	59101
102	6789	59132
103	6856	59073
104	6915	58945
105	6975	58830
106	7032	58689
107	7089	58554
108	7147	58426
109	7206	58304
110	7268	58209
111	7327	58092
112	7348	57679
113	7369	57272
114	7418	57087
115	7483	57033
116	7515	56717
117	7570	56582
118	7637	56540
119	7704	56500
120	7778	56505
121	7900	56860
122	7982	56917
123	8043	56821
124	8103	56727
125	8164	56632
126	8246	56689
127	8267	56322
128	8330	56249
129	8364	55974
130	8427	55902
131	8491	55838
132	8503	55434
133	8548	55244
134	8610	55173
135	8622	54778
136	8652	54503
137	8716	54448
138	8775	54356
139	8843	54322
140	8926	54379
141	8983	54281
142	9042	54192
143	9100	54098
144	9159	54007
145	9235	54020
146	9248	53664
147	9309	53589
148	9365	53487
149	9419	53375
150	9441	53084
151	9499	52999
152	9559	52921
153	9572	52585
154	9583	52242
155	9659	52258
156	9718	52181
157	9780	52120
158	9844	52068
